2017-01-17 13:50:17,125 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:50:17,132 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:50:17,134 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:50:17,142 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\test\resources
2017-01-17 13:50:49,243 [Worker-119] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:50:49,542 [Worker-119] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sf/saxon/saxon/9.1.0.8/saxon-9.1.0.8.pom
2017-01-17 13:50:49,546 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:50:49,790 [Worker-119] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sf/saxon/saxon/9.1.0.8/saxon-9.1.0.8.jar
2017-01-17 13:50:49,845 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:50:49,860 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:50:49,955 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:50:49,962 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:50:49,970 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:50:49,977 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\test\resources
2017-01-17 13:51:00,707 [Worker-113] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:51:00,709 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:51:00,813 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:51:00,887 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon:jar:9.1.0.8 is missing, no dependency information available
2017-01-17 13:51:00,941 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:51:00,952 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:51:00,960 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
